MotifId	Nodes	Edges	Count
904	4	0	65
4374	4	0	0
990	4	0	0
5064	4	0	0
4420	4	0	0
972	4	0	0
922	4	0	0
3038	4	0	0
858	4	0	0
4950	4	0	0
468	4	0	0
14812	4	0	0
4574	4	0	0
7126	4	0	0
14790	4	0	0
2190	4	0	30
6552	4	0	0
2270	4	0	0
7134	4	0	0
15326	4	0	0
28	4	0	753
4678	4	0	0
4370	4	0	36
90	4	0	8
4958	4	0	0
2252	4	0	27
13260	4	0	0
13278	4	0	0
6616	4	0	0
13146	4	0	0
2506	4	0	0
13142	4	0	0
6558	4	0	0
4558	4	0	0
6862	4	0	0
14798	4	0	0
6550	4	0	0
4556	4	0	0
4812	4	0	0
15258	4	0	0
862	4	0	0
286	4	0	0
76	4	0	5698
78	4	0	473
92	4	0	127
94	4	0	7
282	4	0	8
346	4	0	0
348	4	0	0
350	4	0	0
394	4	0	109
406	4	0	0
410	4	0	4
412	4	0	0
414	4	0	0
460	4	0	8
462	4	0	0
478	4	0	0
2184	4	0	4787
332	4	0	63
334	4	0	0
404	4	0	13
470	4	0	0
344	4	0	46
408	4	0	296
472	4	0	21
474	4	0	0
476	4	0	0
926	4	0	0
396	4	0	30
906	4	0	12
910	4	0	0
2186	4	0	716
2204	4	0	21
2206	4	0	2
2254	4	0	3
6356	4	0	0
2458	4	0	5
2526	4	0	0
2510	4	0	0
4698	4	0	0
2524	4	0	0
328	4	0	526
330	4	0	13
4438	4	0	0
4444	4	0	0
4446	4	0	0
4430	4	0	0
4550	4	0	0
4422	4	0	0
4424	4	0	17
4700	4	0	0
4702	4	0	0
4954	4	0	0
5014	4	0	0
5018	4	0	0
5022	4	0	0
5086	4	0	0
4998	4	0	0
4382	4	0	0
6554	4	0	0
7128	4	0	0
15310	4	0	0
6622	4	0	0
4548	4	0	0
5070	4	0	0
6606	4	0	0
206	4	0	31
6854	4	0	0
398	4	0	1
4428	4	0	0
4764	4	0	0
4766	4	0	0
4682	4	0	0
4434	4	0	0
4436	4	0	0
4564	4	0	0
4566	4	0	0
4442	4	0	0
5078	4	0	0
5082	4	0	0
5084	4	0	0
392	4	0	3740
4426	4	0	1
2462	4	0	0
390	4	0	7
4742	4	0	0
6874	4	0	0
4814	4	0	0
6614	4	0	0
6618	4	0	0
6620	4	0	0
6358	4	0	0
222	4	0	0
13150	4	0	0
2202	4	0	18
6598	4	0	0
5066	4	0	0
6342	4	0	1
5012	4	0	0
30	4	0	27
6878	4	0	0
4686	4	0	0
74	4	0	1090
4946	4	0	0
5058	4	0	0
5010	4	0	0
5074	4	0	0
5004	4	0	0
4440	4	0	0
6348	4	0	0
6350	4	0	0
6366	4	0	0
4748	4	0	1
4750	4	0	0
5076	4	0	0
4418	4	0	63
4994	4	0	6
4830	4	0	0
6364	4	0	0
4740	4	0	4
5062	4	0	0
5016	4	0	0
5080	4	0	0
5068	4	0	0
7130	4	0	0
4692	4	0	0
6604	4	0	0
5006	4	0	0
31710	4	0	0
204	4	0	301
14814	4	0	0
454	4	0	0
6602	4	0	0
6858	4	0	0
4694	4	0	0
13148	4	0	0
5020	4	0	0
14678	4	0	0
4562	4	0	0
15262	4	0	0
458	4	0	2
908	4	0	0
456	4	0	99
5002	4	0	0
6876	4	0	0
14810	4	0	0
4952	4	0	0
14686	4	0	0
13262	4	0	0
856	4	0	1
6870	4	0	0
280	4	0	1567
974	4	0	0
4546	4	0	0
924	4	0	0
4758	4	0	0
14	4	0	1274
4572	4	0	0
